metric,full,top_features,delta
precision,0.49246753246753244,0.5394855918075732,-0.04701805934004072
recall,0.4416666666666666,0.5708333333333333,-0.1291666666666667
f1,0.45905746938005,0.5513685097863597,-0.09231104040630966
roc_auc,0.6121791666666667,0.6962416666666666,-0.08406249999999993
average_precision,0.5415098515706288,0.6357581744952874,-0.09424832292465857
accuracy,0.6007317073170733,0.640609756097561,-0.03987804878048773
