,mean,std
precision,0.49246753246753244,0.0736987273168661
recall,0.4416666666666666,0.09982623792259118
f1,0.45905746938005,0.062064381877696986
roc_auc,0.6121791666666667,0.019019596984280296
average_precision,0.5415098515706288,0.06673363103567823
accuracy,0.6007317073170733,0.04427753044782424
