feature,importance
days_adt_to_nht,0.12438465733673347
bmi,0.08469453042041833
dm_noninsulin,0.08307788853355765
days_auth_to_start,0.07146566960843996
age,0.0680927421212906
dbp,0.05605258212418506
sbp,0.050752861039230296
bp_meds_prior,0.048090046029435465
prescribing_provider_enc,0.044226518552129876
ethnicity_enc,0.041987442419298124
adt_agent_enc,0.03651559953922256
hx_htn,0.033526533073172764
specific_nht_used_enc,0.02844598414905058
lipid_panel_checked,0.027523970274667953
hx_smoking,0.018286782103547932
ace_arb_prior,0.01756509227520098
hx_hld,0.013324731785696566
ascvd_10yr,0.012419298003388686
hx_dm2,0.012064828517408817
asa_use,0.011403823464589572
statin_prior,0.010029878436737322
glucose_over_200,0.009514284262934996
has_pcp,0.00928326188522762
a1c_checked,0.009090547274509373
bb_prior,0.00890597242425081
echo_ordered,0.008635901363096976
cards_post,0.00791926938692456
hx_cad,0.006965766899402933
on_insulin,0.006050364534866053
non_onc_provider,0.005789308869450386
family_hx_hd,0.005783019308962321
cards_prior,0.0049834351581919
other_lipid_prior,0.003899294223201348
hx_high_tg,0.0029648755199483015
hx_carotid,0.0029618821900495385
ecg_done,0.002537673119367172
hx_mi_stent,0.0025021960657632025
exercise_counseling,0.002152012904777985
hx_chf,0.0013657760996637757
diet_counseling,0.001339349494215626
hx_arrhythmia,0.0010428830027549554
hx_cva,0.001004447912711593
cards_referral,0.0008579631828792255
hx_pad,0.0005190551094468425
