metric,full,no_timing,delta
precision,0.49246753246753244,0.4425660613895908,0.04990147107794163
recall,0.4416666666666666,0.45583333333333337,-0.014166666666666772
f1,0.45905746938005,0.44495448158772904,0.014102987792320942
roc_auc,0.6121791666666667,0.5946666666666667,0.017512500000000042
average_precision,0.5415098515706288,0.5226493792110207,0.018860472359608083
accuracy,0.6007317073170733,0.566219512195122,0.03451219512195125
