Variable,Not_At_Risk_Mean,Not_At_Risk_SD,At_Risk_Mean,At_Risk_SD,Difference,Cohens_d,p_value,Significant
age,71.77235772357723,9.375423931949522,71.40506329113924,8.46034336961806,-0.367294432437987,-0.040676800163986206,0.8861614763976724,No
bmi,27.803495934959344,5.216034229958436,27.521153846153855,5.1132333991522225,-0.28234208880548906,-0.05454305688007494,0.8451280372302674,No
