model,roc_auc,pr_auc,f1,accuracy,recall,precision
Logistic Regression,0.6183562499999999,0.551057978081062,0.5155581415824824,0.6080487804878048,0.5375000000000001,0.49990267902032615
XGBoost,0.6432541666666667,0.5578543007601728,0.5024516129032258,0.65,0.4549999999999999,0.5666666666666667
Random Forest,0.6121791666666667,0.5415098515706288,0.45905746938005,0.6007317073170733,0.4416666666666666,0.4924675324675324
GAM,0.5925,0.515949359328154,0.48484848484848403,0.585365853658536,0.5,0.47058823529411703
