Metric,Full_GAM,Reduced_GAM,Delta (Reduced - Full)
ROC-AUC,0.48749999999999993,0.5525,0.06500000000000006
PR-AUC,0.37952282917216584,0.4209497584458885,0.04142692927372266
F1,0.375,0.45161290322580644,0.07661290322580644
Accuracy,0.5121951219512195,0.5853658536585366,0.07317073170731703
Recall,0.375,0.4375,0.0625
Precision,0.375,0.4666666666666667,0.09166666666666667
