feature,L1_coef,L2_coef,L1_abs
days_adt_to_nht,-3.8012329381248904,-4.948728146936869,3.8012329381248904
dm_noninsulin,2.7160579175119977,3.2155220653913004,2.7160579175119977
cards_referral,-2.3938252734647927,-3.180302474900294,2.3938252734647927
hx_dm2,-2.003046934031372,-2.5797209748421617,2.003046934031372
lipid_panel_checked,1.719781193263251,2.231044481851401,1.719781193263251
hx_pad,1.6991842420590504,2.304924977833451,1.6991842420590504
glucose_over_200,1.6013696601226861,2.260700856073032,1.6013696601226861
hx_cva,1.4586591690821777,2.2484816129612173,1.4586591690821777
non_onc_provider,1.1644800588289463,1.42169432538992,1.1644800588289463
asa_use,-1.0950248392880713,-1.4493065320341592,1.0950248392880713
hx_smoking,1.083127068018182,1.2934799359081857,1.083127068018182
has_pcp,-0.9384837628151059,-1.1811208389818197,0.9384837628151059
bp_meds_prior,0.8240529927991765,0.9093808058594277,0.8240529927991765
hx_carotid,0.7368247810061925,1.3092550071893605,0.7368247810061925
hx_chf,-0.6904571801563626,-0.9460239336695091,0.6904571801563626
cards_prior,0.5882204238615221,0.9839774220208088,0.5882204238615221
hx_high_tg,0.5662810713817771,0.7856823069613168,0.5662810713817771
bb_prior,-0.5341018245791177,-0.7771902805916592,0.5341018245791177
hx_htn,0.4207926471450535,0.5944225102928378,0.4207926471450535
ascvd_10yr,0.41359350210873175,0.510313508664652,0.41359350210873175
statin_prior,-0.387529748191237,-0.35688393966191495,0.387529748191237
sbp,0.37405383277551524,0.4427666494899013,0.37405383277551524
dbp,-0.34768633340719923,-0.4479801942433184,0.34768633340719923
ace_arb_prior,-0.3378160060310757,-0.44714162863351686,0.3378160060310757
cards_post,0.33359516531407374,0.49961350761093043,0.33359516531407374
adt_agent_enc,-0.31610055172069107,-0.41104133988651725,0.31610055172069107
hx_mi_stent,-0.31197282389722336,-0.4837531186854812,0.31197282389722336
ethnicity_enc,-0.2902331598501753,-0.4298818335400965,0.2902331598501753
hx_arrhythmia,-0.26249126555364377,-0.5983292574475096,0.26249126555364377
hx_cad,-0.236157036346749,-0.611652624729702,0.236157036346749
a1c_checked,-0.20426692444504113,-0.37978502646273254,0.20426692444504113
hx_hld,-0.1819317010693816,-0.32157216728718147,0.1819317010693816
on_insulin,0.1682978043813482,0.21287781233564626,0.1682978043813482
bmi,0.10155360072479193,0.18079191182447837,0.10155360072479193
age,-0.097408293214473,-0.14313709875216596,0.097408293214473
ecg_done,0.06692514684510033,0.3244026687355064,0.06692514684510033
family_hx_hd,0.04676485327018212,0.19146560673072624,0.04676485327018212
diet_counseling,-0.020723896453303046,-0.4310012917569352,0.020723896453303046
days_auth_to_start,0.014684621280889714,0.0005454992023827669,0.014684621280889714
prescribing_provider_enc,-0.011589306110806497,-0.01796916810282544,0.011589306110806497
echo_ordered,0.002823068364987047,0.12527558412814274,0.002823068364987047
exercise_counseling,0.0,0.11220062464106483,0.0
other_lipid_prior,0.0,0.1550614922540947,0.0
specific_nht_used_enc,0.0,0.0619157445977538,0.0
